,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
599060,ID,ID: Boundary County (16021),114.5,200.3,152.5,60,Mortality,27997.0,All Races,Male,All Cancer Sites Combined,2012-2016,163.5,275.9,214.3
599948,ID,ID: Butte County (16023),~,~,~,~,Mortality,6744.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
600836,ID,ID: Camas County (16025),~,~,~,~,Mortality,2754.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
601724,ID,ID: Canyon County (16027),169.2,195.3,181.9,804,Mortality,500583.0,All Races,Male,All Cancer Sites Combined,2012-2016,149.7,172.1,160.6
602612,ID,ID: Caribou County (16029),112.1,235.9,165.3,32,Mortality,17229.0,All Races,Male,All Cancer Sites Combined,2012-2016,127.0,262.2,185.7
603500,ID,ID: Cassia County (16031),138.4,211.9,172.4,92,Mortality,59563.0,All Races,Male,All Cancer Sites Combined,2012-2016,124.5,189.4,154.5
604388,ID,ID: Clark County (16033),~,~,~,~,Mortality,2331.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
605276,ID,ID: Clearwater County (16035),149.6,244.2,191.4,76,Mortality,23338.0,All Races,Male,All Cancer Sites Combined,2012-2016,256.6,407.6,325.6
606164,ID,ID: Custer County (16037),115.6,261.2,174.9,32,Mortality,10783.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.0,418.9,296.8
607052,ID,ID: Elmore County (16039),180.6,263.3,219.2,121,Mortality,68186.0,All Races,Male,All Cancer Sites Combined,2012-2016,147.2,212.0,177.5
607940,ID,ID: Franklin County (16041),89.1,171.0,125.2,40,Mortality,32912.0,All Races,Male,All Cancer Sites Combined,2012-2016,86.8,165.5,121.5
608828,ID,ID: Fremont County (16043),128.6,217.6,168.7,62,Mortality,33583.0,All Races,Male,All Cancer Sites Combined,2012-2016,141.5,236.7,184.6
609716,ID,ID: Gem County (16045),167.7,244.2,202.9,122,Mortality,41523.0,All Races,Male,All Cancer Sites Combined,2012-2016,244.0,350.8,293.8
610604,ID,ID: Gooding County (16047),141.8,224.1,179.4,80,Mortality,38792.0,All Races,Male,All Cancer Sites Combined,2012-2016,163.5,256.7,206.2
611492,ID,ID: Idaho County (16049),143.7,211.3,174.6,124,Mortality,42600.0,All Races,Male,All Cancer Sites Combined,2012-2016,242.1,347.1,291.1
612380,ID,ID: Jefferson County (16051),117.1,186.0,148.8,81,Mortality,68122.0,All Races,Male,All Cancer Sites Combined,2012-2016,94.4,147.8,118.9
613268,ID,ID: Jerome County (16053),132.8,206.9,166.9,88,Mortality,57886.0,All Races,Male,All Cancer Sites Combined,2012-2016,121.9,187.3,152.0
614156,ID,ID: Kootenai County (16055),191.4,219.9,205.3,861,Mortality,362552.0,All Races,Male,All Cancer Sites Combined,2012-2016,221.9,253.9,237.5
615044,ID,ID: Latah County (16057),153.7,215.7,182.8,148,Mortality,98817.0,All Races,Male,All Cancer Sites Combined,2012-2016,126.6,175.9,149.8
615932,ID,ID: Lemhi County (16059),132.1,228.4,173.7,65,Mortality,19654.0,All Races,Male,All Cancer Sites Combined,2012-2016,255.2,421.5,330.7
616820,ID,ID: Lewis County (16061),154.3,316.7,221.8,36,Mortality,9538.0,All Races,Male,All Cancer Sites Combined,2012-2016,264.4,522.5,377.4
617708,ID,ID: Lincoln County (16063),99.3,256.1,164.9,20,Mortality,13743.0,All Races,Male,All Cancer Sites Combined,2012-2016,88.9,224.8,145.5
618596,ID,ID: Madison County (16065),88.4,157.5,119.7,53,Mortality,94805.0,All Races,Male,All Cancer Sites Combined,2012-2016,41.9,73.1,55.9
619484,ID,ID: Minidoka County (16067),134.7,204.6,166.9,96,Mortality,51219.0,All Races,Male,All Cancer Sites Combined,2012-2016,151.8,228.9,187.4
620372,ID,ID: Nez Perce County (16069),192.8,245.0,217.6,287,Mortality,98634.0,All Races,Male,All Cancer Sites Combined,2012-2016,258.3,326.7,291.0
621260,ID,ID: Oneida County (16071),83.0,217.1,136.7,20,Mortality,10677.0,All Races,Male,All Cancer Sites Combined,2012-2016,114.4,289.3,187.3
622148,ID,ID: Owyhee County (16073),122.3,217.9,164.9,54,Mortality,29017.0,All Races,Male,All Cancer Sites Combined,2012-2016,139.8,242.8,186.1
623036,ID,ID: Payette County (16075),149.0,215.5,179.9,123,Mortality,56494.0,All Races,Male,All Cancer Sites Combined,2012-2016,180.9,259.8,217.7
623924,ID,ID: Power County (16077),125.9,258.9,183.9,35,Mortality,19696.0,All Races,Male,All Cancer Sites Combined,2012-2016,123.8,247.1,177.7
624812,ID,ID: Shoshone County (16079),216.9,315.8,262.3,124,Mortality,31382.0,All Races,Male,All Cancer Sites Combined,2012-2016,328.6,471.1,395.1
625700,ID,ID: Teton County (16081),52.0,147.6,91.6,20,Mortality,27462.0,All Races,Male,All Cancer Sites Combined,2012-2016,44.5,112.5,72.8
626588,ID,ID: Twin Falls County (16083),177.4,216.9,196.4,401,Mortality,199379.0,All Races,Male,All Cancer Sites Combined,2012-2016,181.9,221.8,201.1
627926,ID,ID: Valley County (16085),105.5,190.8,142.6,58,Mortality,25618.0,All Races,Male,All Cancer Sites Combined,2012-2016,171.9,292.7,226.4
628814,ID,ID: Washington County (16087),136.3,223.9,175.1,72,Mortality,24853.0,All Races,Male,All Cancer Sites Combined,2012-2016,226.7,364.8,289.7
629702,IL,IL: Adams County (17001),162.7,199.4,180.3,398,Mortality,164183.0,All Races,Male,All Cancer Sites Combined,2012-2016,219.2,267.4,242.4
630590,IL,IL: Alexander County (17003),217.7,361.4,281.9,68,Mortality,17106.0,All Races,Male,All Cancer Sites Combined,2012-2016,308.7,504.0,397.5
631478,IL,IL: Bond County (17005),185.7,272.3,225.8,115,Mortality,44946.0,All Races,Male,All Cancer Sites Combined,2012-2016,211.2,307.1,255.9
632366,IL,IL: Boone County (17007),151.8,199.2,174.3,230,Mortality,133809.0,All Races,Male,All Cancer Sites Combined,2012-2016,150.4,195.6,171.9
633254,IL,IL: Brown County (17009),117.8,252.6,175.9,30,Mortality,22054.0,All Races,Male,All Cancer Sites Combined,2012-2016,91.8,194.2,136.0
634142,IL,IL: Bureau County (17011),172.6,226.4,198.0,227,Mortality,82924.0,All Races,Male,All Cancer Sites Combined,2012-2016,239.3,311.8,273.7
635030,IL,IL: Calhoun County (17013),137.3,280.8,198.1,36,Mortality,12374.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.8,402.8,290.9
635918,IL,IL: Carroll County (17015),143.6,213.1,175.1,110,Mortality,37024.0,All Races,Male,All Cancer Sites Combined,2012-2016,244.2,358.1,297.1
636806,IL,IL: Cass County (17017),208.0,315.1,257.3,97,Mortality,32905.0,All Races,Male,All Cancer Sites Combined,2012-2016,239.1,359.6,294.8
637694,IL,IL: Champaign County (17019),158.5,184.6,171.2,709,Mortality,516756.0,All Races,Male,All Cancer Sites Combined,2012-2016,127.3,147.7,137.2
638582,IL,IL: Christian County (17021),228.0,290.2,257.5,279,Mortality,86093.0,All Races,Male,All Cancer Sites Combined,2012-2016,287.2,364.4,324.1
639470,IL,IL: Clark County (17023),210.9,305.7,254.8,122,Mortality,39383.0,All Races,Male,All Cancer Sites Combined,2012-2016,257.3,369.9,309.8
640358,IL,IL: Clay County (17025),173.2,264.7,215.0,95,Mortality,33295.0,All Races,Male,All Cancer Sites Combined,2012-2016,230.8,348.8,285.3
641246,IL,IL: Clinton County (17027),166.1,220.8,191.9,203,Mortality,97775.0,All Races,Male,All Cancer Sites Combined,2012-2016,180.0,238.2,207.6
642134,IL,IL: Coles County (17029),209.1,262.2,234.5,321,Mortality,127930.0,All Races,Male,All Cancer Sites Combined,2012-2016,224.2,279.9,250.9
643022,IL,IL: Cook County (17031),197.3,202.5,199.9,23526,Mortality,12709722.0,All Races,Male,All Cancer Sites Combined,2012-2016,182.7,187.5,185.1
643910,IL,IL: Crawford County (17033),184.0,263.1,220.8,130,Mortality,50174.0,All Races,Male,All Cancer Sites Combined,2012-2016,216.5,307.7,259.1
644798,IL,IL: Cumberland County (17035),171.5,277.1,219.3,74,Mortality,27256.0,All Races,Male,All Cancer Sites Combined,2012-2016,213.2,340.8,271.5
645686,IL,IL: De Witt County (17039),166.2,249.2,204.4,103,Mortality,40508.0,All Races,Male,All Cancer Sites Combined,2012-2016,207.5,308.4,254.3
646574,IL,IL: DeKalb County (17037),178.1,217.8,197.2,411,Mortality,259035.0,All Races,Male,All Cancer Sites Combined,2012-2016,143.7,174.8,158.7
647462,IL,IL: Douglas County (17041),167.1,243.9,202.7,117,Mortality,49118.0,All Races,Male,All Cancer Sites Combined,2012-2016,197.0,285.5,238.2
648350,IL,IL: DuPage County (17043),160.2,171.5,165.8,3609,Mortality,2284713.0,All Races,Male,All Cancer Sites Combined,2012-2016,152.9,163.2,158.0
649238,IL,IL: Edgar County (17045),184.7,265.2,222.0,130,Mortality,43170.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.6,357.6,301.1
650126,IL,IL: Edwards County (17047),121.5,245.4,174.8,36,Mortality,16271.0,All Races,Male,All Cancer Sites Combined,2012-2016,155.0,306.3,221.3
651014,IL,IL: Effingham County (17049),184.3,246.4,213.6,196,Mortality,85284.0,All Races,Male,All Cancer Sites Combined,2012-2016,198.8,264.3,229.8
651902,IL,IL: Fayette County (17051),190.2,263.0,224.3,156,Mortality,58536.0,All Races,Male,All Cancer Sites Combined,2012-2016,226.3,311.8,266.5
652790,IL,IL: Ford County (17053),211.6,315.2,259.3,107,Mortality,33460.0,All Races,Male,All Cancer Sites Combined,2012-2016,262.1,386.4,319.8
653678,IL,IL: Franklin County (17055),238.0,297.5,266.4,334,Mortality,97125.0,All Races,Male,All Cancer Sites Combined,2012-2016,308.0,382.8,343.9
654566,IL,IL: Fulton County (17057),198.8,254.6,225.3,267,Mortality,93777.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.6,321.0,284.7
655454,IL,IL: Gallatin County (17059),167.0,320.5,233.4,44,Mortality,12807.0,All Races,Male,All Cancer Sites Combined,2012-2016,249.6,461.2,343.6
656342,IL,IL: Greene County (17061),195.9,292.5,240.3,105,Mortality,33746.0,All Races,Male,All Cancer Sites Combined,2012-2016,254.5,376.7,311.1
657230,IL,IL: Grundy County (17063),182.0,239.4,209.3,234,Mortality,125274.0,All Races,Male,All Cancer Sites Combined,2012-2016,163.6,212.3,186.8
658118,IL,IL: Hamilton County (17065),204.7,331.9,261.9,74,Mortality,20324.0,All Races,Male,All Cancer Sites Combined,2012-2016,285.9,457.1,364.1
659006,IL,IL: Hancock County (17067),169.5,242.1,203.1,136,Mortality,45572.0,All Races,Male,All Cancer Sites Combined,2012-2016,250.4,353.0,298.4
659894,IL,IL: Hardin County (17069),140.0,293.3,204.1,36,Mortality,10746.0,All Races,Male,All Cancer Sites Combined,2012-2016,234.6,463.8,335.0
660782,IL,IL: Henderson County (17071),145.0,252.7,191.6,58,Mortality,17124.0,All Races,Male,All Cancer Sites Combined,2012-2016,257.2,437.9,338.7
661670,IL,IL: Henry County (17073),189.4,236.5,211.9,335,Mortality,124235.0,All Races,Male,All Cancer Sites Combined,2012-2016,241.5,300.1,269.7
662558,IL,IL: Iroquois County (17075),204.0,267.7,234.0,227,Mortality,70242.0,All Races,Male,All Cancer Sites Combined,2012-2016,282.5,368.1,323.2
663446,IL,IL: Jackson County (17077),172.9,222.3,196.4,264,Mortality,148995.0,All Races,Male,All Cancer Sites Combined,2012-2016,156.5,199.9,177.2
664334,IL,IL: Jasper County (17079),152.3,256.5,198.9,64,Mortality,24135.0,All Races,Male,All Cancer Sites Combined,2012-2016,204.2,338.6,265.2
665222,IL,IL: Jefferson County (17081),194.4,250.4,221.0,258,Mortality,98947.0,All Races,Male,All Cancer Sites Combined,2012-2016,229.9,294.6,260.7
666110,IL,IL: Jersey County (17083),173.1,245.1,206.6,139,Mortality,54524.0,All Races,Male,All Cancer Sites Combined,2012-2016,214.3,301.0,254.9
666998,IL,IL: Jo Daviess County (17085),187.1,251.4,217.1,199,Mortality,55721.0,All Races,Male,All Cancer Sites Combined,2012-2016,309.2,410.4,357.1
667886,IL,IL: Johnson County (17087),170.2,263.1,212.6,92,Mortality,36412.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.7,309.9,252.7
668774,IL,IL: Kane County (17089),168.1,184.7,176.3,1911,Mortality,1309831.0,All Races,Male,All Cancer Sites Combined,2012-2016,139.4,152.6,145.9
669662,IL,IL: Kankakee County (17091),205.0,239.9,221.9,663,Mortality,273989.0,All Races,Male,All Cancer Sites Combined,2012-2016,223.9,261.1,242.0
670550,IL,IL: Kendall County (17093),170.8,213.5,191.3,367,Mortality,300079.0,All Races,Male,All Cancer Sites Combined,2012-2016,110.1,135.5,122.3
671438,IL,IL: Knox County (17095),196.7,242.4,218.6,376,Mortality,130058.0,All Races,Male,All Cancer Sites Combined,2012-2016,260.6,319.9,289.1
672326,IL,IL: La Salle County (17099),212.0,245.0,228.0,775,Mortality,281190.0,All Races,Male,All Cancer Sites Combined,2012-2016,256.5,295.7,275.6
673214,IL,IL: Lake County (17097),171.5,185.3,178.3,2783,Mortality,1758320.0,All Races,Male,All Cancer Sites Combined,2012-2016,152.4,164.3,158.3
674102,IL,IL: Lawrence County (17101),193.0,283.2,234.8,112,Mortality,46318.0,All Races,Male,All Cancer Sites Combined,2012-2016,199.1,291.0,241.8
674990,IL,IL: Lee County (17103),185.7,241.8,212.3,239,Mortality,91895.0,All Races,Male,All Cancer Sites Combined,2012-2016,228.1,295.2,260.1
675878,IL,IL: Livingston County (17105),199.9,257.3,227.1,259,Mortality,93475.0,All Races,Male,All Cancer Sites Combined,2012-2016,244.4,313.0,277.1
676766,IL,IL: Logan County (17107),242.3,315.5,277.0,235,Mortality,75357.0,All Races,Male,All Cancer Sites Combined,2012-2016,273.2,354.4,311.8
677654,IL,IL: Macon County (17115),213.5,247.5,230.0,754,Mortality,259895.0,All Races,Male,All Cancer Sites Combined,2012-2016,269.8,311.6,290.1
678542,IL,IL: Macoupin County (17117),221.4,273.8,246.4,365,Mortality,114194.0,All Races,Male,All Cancer Sites Combined,2012-2016,287.7,354.2,319.6
679430,IL,IL: Madison County (17119),214.9,237.5,225.9,1621,Mortality,650940.0,All Races,Male,All Cancer Sites Combined,2012-2016,237.0,261.4,249.0
680318,IL,IL: Marion County (17121),224.3,283.2,252.4,305,Mortality,94044.0,All Races,Male,All Cancer Sites Combined,2012-2016,288.9,362.8,324.3
681206,IL,IL: Marshall County (17123),190.4,285.4,233.7,105,Mortality,29828.0,All Races,Male,All Cancer Sites Combined,2012-2016,287.9,426.1,352.0
682094,IL,IL: Mason County (17125),193.7,284.2,235.3,116,Mortality,34550.0,All Races,Male,All Cancer Sites Combined,2012-2016,277.4,402.7,335.7
682982,IL,IL: Massac County (17127),180.9,266.1,220.0,112,Mortality,35262.0,All Races,Male,All Cancer Sites Combined,2012-2016,261.5,382.2,317.6
683870,IL,IL: McDonough County (17109),157.0,219.8,186.4,149,Mortality,79255.0,All Races,Male,All Cancer Sites Combined,2012-2016,159.0,220.7,188.0
684758,IL,IL: McHenry County (17111),177.6,199.6,188.4,1282,Mortality,766597.0,All Races,Male,All Cancer Sites Combined,2012-2016,158.2,176.6,167.2
685646,IL,IL: McLean County (17113),181.7,212.3,196.6,688,Mortality,421550.0,All Races,Male,All Cancer Sites Combined,2012-2016,151.2,175.9,163.2
686534,IL,IL: Menard County (17129),183.9,286.9,230.8,89,Mortality,30514.0,All Races,Male,All Cancer Sites Combined,2012-2016,234.2,358.9,291.7
687422,IL,IL: Mercer County (17131),181.0,263.2,218.8,123,Mortality,39468.0,All Races,Male,All Cancer Sites Combined,2012-2016,259.0,371.8,311.6
688310,IL,IL: Monroe County (17133),131.2,183.3,155.6,151,Mortality,83213.0,All Races,Male,All Cancer Sites Combined,2012-2016,153.7,212.8,181.5
689198,IL,IL: Montgomery County (17135),202.4,266.5,232.7,217,Mortality,76594.0,All Races,Male,All Cancer Sites Combined,2012-2016,246.9,323.6,283.3
690086,IL,IL: Morgan County (17137),198.3,257.5,226.4,243,Mortality,87591.0,All Races,Male,All Cancer Sites Combined,2012-2016,243.6,314.6,277.4
690974,IL,IL: Moultrie County (17139),185.5,279.3,228.6,99,Mortality,35945.0,All Races,Male,All Cancer Sites Combined,2012-2016,223.8,335.3,275.4
691862,IL,IL: Ogle County (17141),182.2,229.0,204.6,316,Mortality,128982.0,All Races,Male,All Cancer Sites Combined,2012-2016,218.7,273.6,245.0
692750,IL,IL: Peoria County (17143),203.7,230.7,216.9,1047,Mortality,453568.0,All Races,Male,All Cancer Sites Combined,2012-2016,217.1,245.3,230.8
693638,IL,IL: Perry County (17145),185.2,261.0,220.6,141,Mortality,58708.0,All Races,Male,All Cancer Sites Combined,2012-2016,202.2,283.2,240.2
694526,IL,IL: Piatt County (17147),188.3,274.6,228.1,119,Mortality,40811.0,All Races,Male,All Cancer Sites Combined,2012-2016,241.6,348.9,291.6
695414,IL,IL: Pike County (17149),194.0,280.4,234.0,124,Mortality,40225.0,All Races,Male,All Cancer Sites Combined,2012-2016,256.4,367.5,308.3
696302,IL,IL: Pope County (17151),113.1,241.3,165.1,34,Mortality,11628.0,All Races,Male,All Cancer Sites Combined,2012-2016,202.5,408.6,292.4
697190,IL,IL: Pulaski County (17153),167.4,312.2,230.3,46,Mortality,13903.0,All Races,Male,All Cancer Sites Combined,2012-2016,242.2,441.3,330.9
698078,IL,IL: Putnam County (17155),144.6,281.1,203.5,42,Mortality,14781.0,All Races,Male,All Cancer Sites Combined,2012-2016,204.8,384.1,284.1
698966,IL,IL: Randolph County (17157),199.9,261.2,228.9,233,Mortality,91076.0,All Races,Male,All Cancer Sites Combined,2012-2016,224.0,290.9,255.8
699854,IL,IL: Richland County (17159),203.3,292.0,244.4,128,Mortality,39406.0,All Races,Male,All Cancer Sites Combined,2012-2016,271.0,386.2,324.8
700742,IL,IL: Rock Island County (17161),190.2,217.8,203.7,888,Mortality,361736.0,All Races,Male,All Cancer Sites Combined,2012-2016,229.6,262.2,245.5
701630,IL,IL: Saline County (17165),203.3,276.2,237.5,180,Mortality,60682.0,All Races,Male,All Cancer Sites Combined,2012-2016,254.9,343.3,296.6
702518,IL,IL: Sangamon County (17167),209.9,236.4,222.9,1166,Mortality,477344.0,All Races,Male,All Cancer Sites Combined,2012-2016,230.4,258.7,244.3
703406,IL,IL: Schuyler County (17169),188.5,313.3,244.1,67,Mortality,19055.0,All Races,Male,All Cancer Sites Combined,2012-2016,272.5,446.5,351.6
704294,IL,IL: Scott County (17171),179.2,342.2,250.0,42,Mortality,12599.0,All Races,Male,All Cancer Sites Combined,2012-2016,240.3,450.6,333.4
705182,IL,IL: Shelby County (17173),159.0,223.0,188.7,147,Mortality,54520.0,All Races,Male,All Cancer Sites Combined,2012-2016,227.8,316.9,269.6
706070,IL,IL: St. Clair County (17163),218.2,242.4,230.0,1489,Mortality,640984.0,All Races,Male,All Cancer Sites Combined,2012-2016,220.6,244.4,232.3
706958,IL,IL: Stark County (17175),160.5,303.5,222.5,44,Mortality,13802.0,All Races,Male,All Cancer Sites Combined,2012-2016,231.6,428.0,318.8
707846,IL,IL: Stephenson County (17177),176.8,222.6,198.6,313,Mortality,111921.0,All Races,Male,All Cancer Sites Combined,2012-2016,249.5,312.4,279.7
708734,IL,IL: Tazewell County (17179),202.6,232.5,217.2,855,Mortality,332982.0,All Races,Male,All Cancer Sites Combined,2012-2016,239.8,274.6,256.8
709622,IL,IL: Union County (17181),226.3,315.4,267.8,156,Mortality,43408.0,All Races,Male,All Cancer Sites Combined,2012-2016,305.2,420.4,359.4
710510,IL,IL: Vermilion County (17183),219.2,259.5,238.7,572,Mortality,197895.0,All Races,Male,All Cancer Sites Combined,2012-2016,265.8,313.7,289.0
711398,IL,IL: Wabash County (17185),191.3,295.4,238.8,90,Mortality,28703.0,All Races,Male,All Cancer Sites Combined,2012-2016,252.1,385.4,313.6
712286,IL,IL: Warren County (17187),159.6,240.1,196.6,102,Mortality,43133.0,All Races,Male,All Cancer Sites Combined,2012-2016,192.8,287.1,236.5
713174,IL,IL: Washington County (17189),172.7,260.7,213.0,100,Mortality,36060.0,All Races,Male,All Cancer Sites Combined,2012-2016,225.6,337.3,277.3
714062,IL,IL: Wayne County (17191),173.6,253.2,210.3,118,Mortality,40921.0,All Races,Male,All Cancer Sites Combined,2012-2016,238.7,345.3,288.4
714950,IL,IL: White County (17193),203.6,294.6,245.6,124,Mortality,34837.0,All Races,Male,All Cancer Sites Combined,2012-2016,296.1,424.4,355.9
715838,IL,IL: Whiteside County (17195),195.8,239.8,216.9,401,Mortality,141117.0,All Races,Male,All Cancer Sites Combined,2012-2016,257.0,313.4,284.2
716726,IL,IL: Will County (17197),193.0,208.9,200.8,2750,Mortality,1703085.0,All Races,Male,All Cancer Sites Combined,2012-2016,155.5,167.6,161.5
717614,IL,IL: Williamson County (17199),221.6,266.4,243.2,482,Mortality,167730.0,All Races,Male,All Cancer Sites Combined,2012-2016,262.3,314.2,287.4
718502,IL,IL: Winnebago County (17201),209.9,231.2,220.3,1736,Mortality,706015.0,All Races,Male,All Cancer Sites Combined,2012-2016,234.5,257.7,245.9
719390,IL,IL: Woodford County (17203),169.2,223.6,194.9,215,Mortality,96745.0,All Races,Male,All Cancer Sites Combined,2012-2016,193.5,254.0,222.2
720278,IN,IN: Adams County (18001),188.6,253.1,219.1,191,Mortality,86382.0,All Races,Male,All Cancer Sites Combined,2012-2016,190.9,254.8,221.1
721166,IN,IN: Allen County (18003),199.0,219.3,208.9,1750,Mortality,891070.0,All Races,Male,All Cancer Sites Combined,2012-2016,187.3,205.8,196.4
722054,IN,IN: Bartholomew County (18005),190.6,231.9,210.5,429,Mortality,200907.0,All Races,Male,All Cancer Sites Combined,2012-2016,193.8,234.7,213.5
722942,IN,IN: Benton County (18007),173.3,301.8,230.8,57,Mortality,21869.0,All Races,Male,All Cancer Sites Combined,2012-2016,197.4,337.7,260.6
723830,IN,IN: Blackford County (18009),180.7,279.9,225.9,90,Mortality,30507.0,All Races,Male,All Cancer Sites Combined,2012-2016,237.2,362.6,295.0
724718,IN,IN: Boone County (18011),179.8,230.4,204.0,277,Mortality,152632.0,All Races,Male,All Cancer Sites Combined,2012-2016,160.7,204.2,181.5
725606,IN,IN: Brown County (18013),190.3,279.6,231.3,126,Mortality,37272.0,All Races,Male,All Cancer Sites Combined,2012-2016,281.6,402.5,338.1
726494,IN,IN: Carroll County (18015),154.1,226.9,187.7,114,Mortality,49775.0,All Races,Male,All Cancer Sites Combined,2012-2016,188.9,275.1,229.0
727382,IN,IN: Cass County (18017),189.9,248.2,217.6,231,Mortality,96126.0,All Races,Male,All Cancer Sites Combined,2012-2016,210.3,273.4,240.3
728270,IN,IN: Clark County (18019),211.2,248.3,229.2,650,Mortality,278758.0,All Races,Male,All Cancer Sites Combined,2012-2016,215.6,251.8,233.2
729158,IN,IN: Clay County (18021),227.4,303.8,263.5,199,Mortality,65331.0,All Races,Male,All Cancer Sites Combined,2012-2016,263.7,350.0,304.6
730046,IN,IN: Clinton County (18023),205.9,273.3,237.8,206,Mortality,80506.0,All Races,Male,All Cancer Sites Combined,2012-2016,222.1,293.3,255.9
730934,IN,IN: Crawford County (18025),164.7,276.5,215.0,70,Mortality,26913.0,All Races,Male,All Cancer Sites Combined,2012-2016,202.8,328.6,260.1
731822,IN,IN: Daviess County (18027),173.6,238.0,203.9,169,Mortality,81468.0,All Races,Male,All Cancer Sites Combined,2012-2016,177.3,241.2,207.4
732710,IN,IN: DeKalb County (18033),201.7,260.6,229.7,259,Mortality,105327.0,All Races,Male,All Cancer Sites Combined,2012-2016,216.9,277.7,245.9
733598,IN,IN: Dearborn County (18029),185.3,236.3,209.6,293,Mortality,123264.0,All Races,Male,All Cancer Sites Combined,2012-2016,211.3,266.5,237.7
734486,IN,IN: Decatur County (18031),185.0,256.4,218.5,158,Mortality,65251.0,All Races,Male,All Cancer Sites Combined,2012-2016,205.9,283.0,242.1
735374,IN,IN: Delaware County (18035),208.1,242.5,224.8,696,Mortality,280557.0,All Races,Male,All Cancer Sites Combined,2012-2016,230.0,267.2,248.1
736262,IN,IN: Dubois County (18037),164.3,217.2,189.4,217,Mortality,104713.0,All Races,Male,All Cancer Sites Combined,2012-2016,180.6,236.7,207.2
737150,IN,IN: Elkhart County (18039),187.6,213.8,200.4,949,Mortality,498923.0,All Races,Male,All Cancer Sites Combined,2012-2016,178.3,202.7,190.2
738038,IN,IN: Fayette County (18041),206.9,280.8,241.6,180,Mortality,58142.0,All Races,Male,All Cancer Sites Combined,2012-2016,266.0,358.3,309.6
738926,IN,IN: Floyd County (18043),191.1,234.6,212.0,404,Mortality,184529.0,All Races,Male,All Cancer Sites Combined,2012-2016,198.1,241.4,218.9
739814,IN,IN: Fountain County (18045),208.5,297.7,249.9,132,Mortality,41799.0,All Races,Male,All Cancer Sites Combined,2012-2016,264.2,374.5,315.8
740702,IN,IN: Franklin County (18047),173.1,246.9,207.5,139,Mortality,57414.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.5,285.9,242.1
741590,IN,IN: Fulton County (18049),191.0,270.5,228.0,140,Mortality,50836.0,All Races,Male,All Cancer Sites Combined,2012-2016,231.7,325.0,275.4
742478,IN,IN: Gibson County (18051),186.4,247.9,215.5,204,Mortality,83599.0,All Races,Male,All Cancer Sites Combined,2012-2016,211.7,279.9,244.0
743366,IN,IN: Grant County (18053),228.4,274.3,250.5,495,Mortality,163416.0,All Races,Male,All Cancer Sites Combined,2012-2016,276.8,330.8,302.9
744254,IN,IN: Greene County (18055),202.9,264.7,232.2,237,Mortality,81443.0,All Races,Male,All Cancer Sites Combined,2012-2016,255.1,330.5,291.0
745142,IN,IN: Hamilton County (18057),151.0,173.4,161.9,908,Mortality,739893.0,All Races,Male,All Cancer Sites Combined,2012-2016,114.9,131.0,122.7
746030,IN,IN: Hancock County (18059),199.2,244.1,220.8,407,Mortality,176688.0,All Races,Male,All Cancer Sites Combined,2012-2016,208.5,253.9,230.3
746918,IN,IN: Harrison County (18061),203.0,263.0,231.5,258,Mortality,98061.0,All Races,Male,All Cancer Sites Combined,2012-2016,232.0,297.2,263.1
747806,IN,IN: Hendricks County (18063),189.5,222.0,205.3,683,Mortality,388849.0,All Races,Male,All Cancer Sites Combined,2012-2016,162.7,189.3,175.6
748694,IN,IN: Henry County (18065),190.6,240.1,214.2,310,Mortality,126221.0,All Races,Male,All Cancer Sites Combined,2012-2016,219.0,274.5,245.6
749582,IN,IN: Howard County (18067),195.5,233.4,213.8,522,Mortality,199584.0,All Races,Male,All Cancer Sites Combined,2012-2016,239.6,285.0,261.5
750470,IN,IN: Huntington County (18069),181.9,241.0,209.8,213,Mortality,90202.0,All Races,Male,All Cancer Sites Combined,2012-2016,205.5,270.1,236.1
751358,IN,IN: Jackson County (18071),255.4,320.1,286.4,327,Mortality,108979.0,All Races,Male,All Cancer Sites Combined,2012-2016,268.4,334.4,300.1
752246,IN,IN: Jasper County (18073),220.6,289.0,253.0,231,Mortality,83215.0,All Races,Male,All Cancer Sites Combined,2012-2016,242.9,315.8,277.6
753134,IN,IN: Jay County (18075),228.1,315.9,269.3,156,Mortality,52358.0,All Races,Male,All Cancer Sites Combined,2012-2016,253.0,348.5,297.9
754022,IN,IN: Jefferson County (18077),188.9,254.4,219.8,194,Mortality,77865.0,All Races,Male,All Cancer Sites Combined,2012-2016,215.3,286.8,249.1
