,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
584803,IA,IA: Webster County (19187),131.8,176.1,152.6,209,Mortality,89876.0,All Races,Female,All Cancer Sites Combined,2012-2016,202.1,266.3,232.5
585691,IA,IA: Winnebago County (19189),110.9,190.5,146.0,68,Mortality,26854.0,All Races,Female,All Cancer Sites Combined,2012-2016,196.6,321.0,253.2
586579,IA,IA: Winneshiek County (19191),98.1,151.4,122.2,102,Mortality,52258.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.2,236.9,195.2
587467,IA,IA: Woodbury County (19193),138.2,166.5,151.9,481,Mortality,258850.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.6,203.2,185.8
588355,IA,IA: Worth County (19195),88.9,186.6,130.4,39,Mortality,18743.0,All Races,Female,All Cancer Sites Combined,2012-2016,148.0,284.4,208.1
589243,IA,IA: Wright County (19197),94.8,165.8,126.1,72,Mortality,32213.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.9,281.5,223.5
590131,ID,ID: Ada County (16001),122.8,136.3,129.4,1498,Mortality,1062125.0,All Races,Female,All Cancer Sites Combined,2012-2016,134.0,148.4,141.0
591019,ID,ID: Adams County (16003),68.0,193.1,114.7,19,Mortality,9455.0,All Races,Female,All Cancer Sites Combined,2012-2016,121.0,313.8,201.0
591907,ID,ID: Bannock County (16005),107.6,137.6,121.9,273,Mortality,210133.0,All Races,Female,All Cancer Sites Combined,2012-2016,115.0,146.3,129.9
592795,ID,ID: Bear Lake County (16007),80.3,181.2,122.0,28,Mortality,14916.0,All Races,Female,All Cancer Sites Combined,2012-2016,124.7,271.3,187.7
593683,ID,ID: Benewah County (16009),118.1,213.5,159.8,52,Mortality,22305.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.1,305.7,233.1
594571,ID,ID: Bingham County (16011),102.8,143.6,121.9,148,Mortality,112833.0,All Races,Female,All Cancer Sites Combined,2012-2016,110.9,154.1,131.2
595459,ID,ID: Blaine County (16013),74.7,131.0,99.9,59,Mortality,52580.0,All Races,Female,All Cancer Sites Combined,2012-2016,85.4,144.7,112.2
596347,ID,ID: Boise County (16015),80.4,193.5,126.5,28,Mortality,16609.0,All Races,Female,All Cancer Sites Combined,2012-2016,112.0,243.6,168.6
597235,ID,ID: Bonner County (16017),134.6,176.8,154.4,241,Mortality,103012.0,All Races,Female,All Cancer Sites Combined,2012-2016,205.3,265.4,234.0
598123,ID,ID: Bonneville County (16019),103.0,128.7,115.3,330,Mortality,273678.0,All Races,Female,All Cancer Sites Combined,2012-2016,107.9,134.3,120.6
599011,ID,ID: Boundary County (16021),90.1,164.2,122.4,51,Mortality,27502.0,All Races,Female,All Cancer Sites Combined,2012-2016,138.1,243.8,185.4
599899,ID,ID: Butte County (16023),~,~,~,~,Mortality,6477.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
600787,ID,ID: Camas County (16025),~,~,~,~,Mortality,2590.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
601675,ID,ID: Canyon County (16027),127.2,147.9,137.3,717,Mortality,511472.0,All Races,Female,All Cancer Sites Combined,2012-2016,130.1,150.8,140.2
602563,ID,ID: Caribou County (16029),119.1,237.6,170.2,38,Mortality,16806.0,All Races,Female,All Cancer Sites Combined,2012-2016,160.0,310.4,226.1
603451,ID,ID: Cassia County (16031),86.6,140.0,110.9,73,Mortality,57360.0,All Races,Female,All Cancer Sites Combined,2012-2016,99.8,160.0,127.3
604339,ID,ID: Clark County (16033),~,~,~,~,Mortality,2016.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
605227,ID,ID: Clearwater County (16035),106.3,196.0,144.3,54,Mortality,19360.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.5,363.9,278.9
606115,ID,ID: Custer County (16037),93.7,245.7,154.8,24,Mortality,10079.0,All Races,Female,All Cancer Sites Combined,2012-2016,152.6,354.3,238.1
607003,ID,ID: Elmore County (16039),118.8,181.0,147.4,93,Mortality,62423.0,All Races,Female,All Cancer Sites Combined,2012-2016,120.2,182.5,149.0
607891,ID,ID: Franklin County (16041),86.7,163.7,120.6,43,Mortality,31920.0,All Races,Female,All Cancer Sites Combined,2012-2016,97.5,181.5,134.7
608779,ID,ID: Fremont County (16043),95.3,172.9,129.6,49,Mortality,30723.0,All Races,Female,All Cancer Sites Combined,2012-2016,118.0,210.9,159.5
609667,ID,ID: Gem County (16045),140.2,212.8,173.3,107,Mortality,41975.0,All Races,Female,All Cancer Sites Combined,2012-2016,208.9,308.0,254.9
610555,ID,ID: Gooding County (16047),122.7,197.9,156.7,76,Mortality,36844.0,All Races,Female,All Cancer Sites Combined,2012-2016,162.5,258.2,206.3
611443,ID,ID: Idaho County (16049),113.6,174.2,140.7,98,Mortality,38842.0,All Races,Female,All Cancer Sites Combined,2012-2016,204.8,307.5,252.3
612331,ID,ID: Jefferson County (16051),95.3,153.4,121.9,74,Mortality,67115.0,All Races,Female,All Cancer Sites Combined,2012-2016,86.6,138.4,110.3
613219,ID,ID: Jerome County (16053),104.5,166.5,132.8,77,Mortality,56206.0,All Races,Female,All Cancer Sites Combined,2012-2016,108.1,171.2,137.0
614107,ID,ID: Kootenai County (16055),136.9,159.1,147.6,733,Mortality,372520.0,All Races,Female,All Cancer Sites Combined,2012-2016,182.8,211.5,196.8
614995,ID,ID: Latah County (16057),101.5,148.3,123.2,118,Mortality,93407.0,All Races,Female,All Cancer Sites Combined,2012-2016,104.6,151.3,126.3
615883,ID,ID: Lemhi County (16059),91.0,183.4,129.8,44,Mortality,19012.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.2,310.7,231.4
616771,ID,ID: Lewis County (16061),96.8,241.9,154.8,25,Mortality,9516.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.0,387.8,262.7
617659,ID,ID: Lincoln County (16063),78.1,216.7,134.8,17,Mortality,12671.0,All Races,Female,All Cancer Sites Combined,2012-2016,78.2,214.8,134.2
618547,ID,ID: Madison County (16065),69.6,124.4,94.3,50,Mortality,94910.0,All Races,Female,All Cancer Sites Combined,2012-2016,39.1,69.5,52.7
619435,ID,ID: Minidoka County (16067),92.9,150.3,118.9,76,Mortality,50398.0,All Races,Female,All Cancer Sites Combined,2012-2016,118.8,188.7,150.8
620323,ID,ID: Nez Perce County (16069),148.3,191.9,168.9,265,Mortality,100543.0,All Races,Female,All Cancer Sites Combined,2012-2016,232.8,297.3,263.6
621211,ID,ID: Oneida County (16071),62.2,192.5,113.4,16,Mortality,10533.0,All Races,Female,All Cancer Sites Combined,2012-2016,86.8,246.7,151.9
622099,ID,ID: Owyhee County (16073),110.9,199.4,150.1,51,Mortality,27676.0,All Races,Female,All Cancer Sites Combined,2012-2016,137.2,242.3,184.3
622987,ID,ID: Payette County (16075),114.0,171.5,140.4,102,Mortality,57156.0,All Races,Female,All Cancer Sites Combined,2012-2016,145.5,216.6,178.5
623875,ID,ID: Power County (16077),67.5,161.0,106.5,24,Mortality,18840.0,All Races,Female,All Cancer Sites Combined,2012-2016,81.6,189.5,127.4
624763,ID,ID: Shoshone County (16079),141.9,219.8,176.9,92,Mortality,31235.0,All Races,Female,All Cancer Sites Combined,2012-2016,237.4,361.2,294.5
625651,ID,ID: Teton County (16081),53.6,145.5,91.8,19,Mortality,25125.0,All Races,Female,All Cancer Sites Combined,2012-2016,45.5,118.1,75.6
626539,ID,ID: Twin Falls County (16083),119.9,149.6,134.1,336,Mortality,205160.0,All Races,Female,All Cancer Sites Combined,2012-2016,146.7,182.3,163.8
627877,ID,ID: Valley County (16085),94.9,178.9,131.0,49,Mortality,23751.0,All Races,Female,All Cancer Sites Combined,2012-2016,152.6,272.7,206.3
628765,ID,ID: Washington County (16087),99.8,173.5,131.8,59,Mortality,25041.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.4,303.9,235.6
629653,IL,IL: Adams County (17001),120.6,150.2,134.7,369,Mortality,170655.0,All Races,Female,All Cancer Sites Combined,2012-2016,194.7,239.5,216.2
630541,IL,IL: Alexander County (17003),134.8,238.1,179.8,54,Mortality,18174.0,All Races,Female,All Cancer Sites Combined,2012-2016,223.2,387.7,297.1
631429,IL,IL: Bond County (17005),87.6,144.5,113.0,72,Mortality,40808.0,All Races,Female,All Cancer Sites Combined,2012-2016,138.1,222.2,176.4
632317,IL,IL: Boone County (17007),144.3,185.6,164.0,258,Mortality,134621.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.0,216.5,191.6
633205,IL,IL: Brown County (17009),90.9,215.9,142.3,25,Mortality,12073.0,All Races,Female,All Cancer Sites Combined,2012-2016,134.0,305.7,207.1
634093,IL,IL: Bureau County (17011),112.6,153.8,131.8,185,Mortality,86266.0,All Races,Female,All Cancer Sites Combined,2012-2016,184.7,247.7,214.5
634981,IL,IL: Calhoun County (17013),69.1,174.8,111.1,23,Mortality,12265.0,All Races,Female,All Cancer Sites Combined,2012-2016,118.9,281.4,187.5
635869,IL,IL: Carroll County (17015),125.9,190.4,154.9,108,Mortality,37092.0,All Races,Female,All Cancer Sites Combined,2012-2016,238.9,351.5,291.2
636757,IL,IL: Cass County (17017),132.3,212.8,168.6,78,Mortality,32413.0,All Races,Female,All Cancer Sites Combined,2012-2016,190.2,300.3,240.6
637645,IL,IL: Champaign County (17019),113.0,132.6,122.5,651,Mortality,517674.0,All Races,Female,All Cancer Sites Combined,2012-2016,116.3,135.8,125.8
638533,IL,IL: Christian County (17021),121.8,163.2,141.1,200,Mortality,83132.0,All Races,Female,All Cancer Sites Combined,2012-2016,208.4,276.3,240.6
639421,IL,IL: Clark County (17023),119.2,187.5,150.2,91,Mortality,40728.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.9,274.3,223.4
640309,IL,IL: Clay County (17025),115.3,187.4,147.6,80,Mortality,34113.0,All Races,Female,All Cancer Sites Combined,2012-2016,186.0,291.9,234.5
641197,IL,IL: Clinton County (17027),108.1,149.8,127.6,163,Mortality,90722.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.1,209.5,179.7
642085,IL,IL: Coles County (17029),135.4,174.0,153.7,275,Mortality,136092.0,All Races,Female,All Cancer Sites Combined,2012-2016,178.9,227.4,202.1
642973,IL,IL: Cook County (17031),144.8,148.6,146.7,23811,Mortality,13508893.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.0,178.5,176.3
643861,IL,IL: Crawford County (17033),134.0,194.5,161.7,124,Mortality,46517.0,All Races,Female,All Cancer Sites Combined,2012-2016,221.7,317.8,266.6
644749,IL,IL: Cumberland County (17035),115.2,198.7,152.2,62,Mortality,27277.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.3,291.4,227.3
645637,IL,IL: De Witt County (17039),140.6,210.3,172.4,109,Mortality,40925.0,All Races,Female,All Cancer Sites Combined,2012-2016,218.7,321.3,266.3
646525,IL,IL: DeKalb County (17037),139.1,169.9,153.9,409,Mortality,262908.0,All Races,Female,All Cancer Sites Combined,2012-2016,140.9,171.4,155.6
647413,IL,IL: Douglas County (17041),110.5,168.6,137.0,99,Mortality,50172.0,All Races,Female,All Cancer Sites Combined,2012-2016,160.4,240.2,197.3
648301,IL,IL: DuPage County (17043),124.3,132.8,128.5,3749,Mortality,2372562.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.0,163.2,158.0
649189,IL,IL: Edgar County (17045),135.8,196.5,163.6,132,Mortality,45671.0,All Races,Female,All Cancer Sites Combined,2012-2016,241.8,342.7,289.0
650077,IL,IL: Edwards County (17047),101.4,197.5,142.2,41,Mortality,16815.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.0,330.8,243.8
650965,IL,IL: Effingham County (17049),120.1,163.5,140.4,181,Mortality,85669.0,All Races,Female,All Cancer Sites Combined,2012-2016,181.6,244.4,211.3
651853,IL,IL: Fayette County (17051),106.8,160.5,131.3,107,Mortality,51730.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.5,249.9,206.8
652741,IL,IL: Ford County (17053),138.8,214.7,173.2,103,Mortality,34488.0,All Races,Female,All Cancer Sites Combined,2012-2016,243.8,362.2,298.7
653629,IL,IL: Franklin County (17055),150.8,194.2,171.3,271,Mortality,100195.0,All Races,Female,All Cancer Sites Combined,2012-2016,239.2,304.7,270.5
654517,IL,IL: Fulton County (17057),116.2,157.2,135.3,199,Mortality,86364.0,All Races,Female,All Cancer Sites Combined,2012-2016,199.5,264.8,230.4
655405,IL,IL: Gallatin County (17059),103.1,219.0,151.5,34,Mortality,13634.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.7,348.5,249.4
656293,IL,IL: Greene County (17061),134.3,212.3,169.5,85,Mortality,33292.0,All Races,Female,All Cancer Sites Combined,2012-2016,203.9,315.7,255.3
657181,IL,IL: Grundy County (17063),139.0,181.9,159.4,228,Mortality,125959.0,All Races,Female,All Cancer Sites Combined,2012-2016,158.3,206.1,181.0
658069,IL,IL: Hamilton County (17065),90.9,177.8,128.2,43,Mortality,21166.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.0,273.6,203.2
658957,IL,IL: Hancock County (17067),125.1,185.2,152.5,122,Mortality,46556.0,All Races,Female,All Cancer Sites Combined,2012-2016,217.6,312.9,262.1
659845,IL,IL: Hardin County (17069),134.9,286.3,197.4,35,Mortality,10291.0,All Races,Female,All Cancer Sites Combined,2012-2016,236.9,473.0,340.1
660733,IL,IL: Henderson County (17071),124.1,224.1,167.0,54,Mortality,17759.0,All Races,Female,All Cancer Sites Combined,2012-2016,228.4,396.7,304.1
661621,IL,IL: Henry County (17073),127.3,162.7,144.0,284,Mortality,124935.0,All Races,Female,All Cancer Sites Combined,2012-2016,201.6,255.4,227.3
662509,IL,IL: Iroquois County (17075),143.3,193.3,166.7,200,Mortality,73429.0,All Races,Female,All Cancer Sites Combined,2012-2016,235.9,312.8,272.4
663397,IL,IL: Jackson County (17077),113.0,149.9,130.4,218,Mortality,147288.0,All Races,Female,All Cancer Sites Combined,2012-2016,129.0,169.0,148.0
664285,IL,IL: Jasper County (17079),121.8,212.3,161.7,59,Mortality,23986.0,All Races,Female,All Cancer Sites Combined,2012-2016,187.2,317.3,246.0
665173,IL,IL: Jefferson County (17081),112.8,153.8,132.0,184,Mortality,93316.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.7,227.8,197.2
666061,IL,IL: Jersey County (17083),115.9,169.9,140.7,118,Mortality,57282.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.5,246.7,206.0
666949,IL,IL: Jo Daviess County (17085),97.9,145.9,119.6,120,Mortality,55449.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.4,258.8,216.4
667837,IL,IL: Johnson County (17087),103.0,183.1,138.2,58,Mortality,28043.0,All Races,Female,All Cancer Sites Combined,2012-2016,157.1,267.4,206.8
668725,IL,IL: Kane County (17089),120.4,132.6,126.4,1753,Mortality,1323514.0,All Races,Female,All Cancer Sites Combined,2012-2016,126.3,138.8,132.5
669613,IL,IL: Kankakee County (17091),160.0,187.9,173.5,637,Mortality,283363.0,All Races,Female,All Cancer Sites Combined,2012-2016,207.7,243.0,224.8
670501,IL,IL: Kendall County (17093),126.6,157.4,141.4,353,Mortality,306614.0,All Races,Female,All Cancer Sites Combined,2012-2016,103.4,127.8,115.1
671389,IL,IL: Knox County (17095),124.0,158.4,140.2,298,Mortality,128444.0,All Races,Female,All Cancer Sites Combined,2012-2016,206.4,259.9,232.0
672277,IL,IL: La Salle County (17099),150.1,175.7,162.5,691,Mortality,277407.0,All Races,Female,All Cancer Sites Combined,2012-2016,230.9,268.4,249.1
673165,IL,IL: Lake County (17097),131.2,141.8,136.4,2715,Mortality,1762701.0,All Races,Female,All Cancer Sites Combined,2012-2016,148.3,159.9,154.0
674053,IL,IL: Lawrence County (17101),118.1,187.1,149.2,86,Mortality,36524.0,All Races,Female,All Cancer Sites Combined,2012-2016,188.3,290.8,235.5
674941,IL,IL: Lee County (17103),145.4,194.1,168.2,211,Mortality,82253.0,All Races,Female,All Cancer Sites Combined,2012-2016,223.1,293.6,256.5
675829,IL,IL: Livingston County (17105),138.2,182.8,159.2,223,Mortality,92577.0,All Races,Female,All Cancer Sites Combined,2012-2016,210.3,274.7,240.9
676717,IL,IL: Logan County (17107),154.1,206.9,178.8,205,Mortality,73163.0,All Races,Female,All Cancer Sites Combined,2012-2016,243.2,321.3,280.2
677605,IL,IL: Macon County (17115),146.7,171.9,158.9,679,Mortality,282342.0,All Races,Female,All Cancer Sites Combined,2012-2016,222.7,259.3,240.5
678493,IL,IL: Macoupin County (17117),133.5,172.0,151.7,273,Mortality,117207.0,All Races,Female,All Cancer Sites Combined,2012-2016,206.1,262.3,232.9
679381,IL,IL: Madison County (17119),149.2,165.8,157.3,1473,Mortality,682423.0,All Races,Female,All Cancer Sites Combined,2012-2016,205.0,227.2,215.8
680269,IL,IL: Marion County (17121),136.8,179.7,157.0,236,Mortality,98585.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.8,272.0,239.4
681157,IL,IL: Marshall County (17123),122.8,197.6,156.2,83,Mortality,30324.0,All Races,Female,All Cancer Sites Combined,2012-2016,218.0,339.3,273.7
682045,IL,IL: Mason County (17125),153.7,230.2,188.5,111,Mortality,35574.0,All Races,Female,All Cancer Sites Combined,2012-2016,256.7,375.8,312.0
682933,IL,IL: Massac County (17127),99.4,162.1,127.4,76,Mortality,38425.0,All Races,Female,All Cancer Sites Combined,2012-2016,155.8,247.6,197.8
683821,IL,IL: McDonough County (17109),138.3,192.0,163.3,172,Mortality,80447.0,All Races,Female,All Cancer Sites Combined,2012-2016,183.0,248.3,213.8
684709,IL,IL: McHenry County (17111),138.3,155.0,146.4,1265,Mortality,772667.0,All Races,Female,All Cancer Sites Combined,2012-2016,154.8,173.0,163.7
685597,IL,IL: McLean County (17113),123.0,145.0,133.7,613,Mortality,444839.0,All Races,Female,All Cancer Sites Combined,2012-2016,127.1,149.2,137.8
686485,IL,IL: Menard County (17129),160.1,252.0,201.8,89,Mortality,32009.0,All Races,Female,All Cancer Sites Combined,2012-2016,223.3,342.2,278.0
687373,IL,IL: Mercer County (17131),142.4,211.2,173.7,114,Mortality,40049.0,All Races,Female,All Cancer Sites Combined,2012-2016,234.8,342.0,284.7
688261,IL,IL: Monroe County (17133),100.2,142.5,119.8,141,Mortality,84647.0,All Races,Female,All Cancer Sites Combined,2012-2016,140.2,196.4,166.6
689149,IL,IL: Montgomery County (17135),146.5,198.0,170.5,201,Mortality,70094.0,All Races,Female,All Cancer Sites Combined,2012-2016,248.5,329.3,286.8
690037,IL,IL: Morgan County (17137),136.6,182.7,158.2,208,Mortality,86142.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.8,276.6,241.5
690925,IL,IL: Moultrie County (17139),141.9,217.9,176.5,99,Mortality,37787.0,All Races,Female,All Cancer Sites Combined,2012-2016,212.9,319.0,262.0
691813,IL,IL: Ogle County (17141),135.9,173.1,153.5,286,Mortality,130840.0,All Races,Female,All Cancer Sites Combined,2012-2016,194.0,245.4,218.6
692701,IL,IL: Peoria County (17143),142.6,162.6,152.3,968,Mortality,481336.0,All Races,Female,All Cancer Sites Combined,2012-2016,188.6,214.2,201.1
693589,IL,IL: Perry County (17145),132.9,195.9,161.8,121,Mortality,49179.0,All Races,Female,All Cancer Sites Combined,2012-2016,204.2,294.0,246.0
694477,IL,IL: Piatt County (17147),118.5,184.7,148.5,90,Mortality,41411.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.8,267.1,217.3
695365,IL,IL: Pike County (17149),120.0,186.3,150.0,99,Mortality,39835.0,All Races,Female,All Cancer Sites Combined,2012-2016,202.0,302.6,248.5
696253,IL,IL: Pope County (17151),103.8,232.9,154.6,30,Mortality,10299.0,All Races,Female,All Cancer Sites Combined,2012-2016,196.5,415.8,291.3
697141,IL,IL: Pulaski County (17153),154.8,282.2,210.0,51,Mortality,15003.0,All Races,Female,All Cancer Sites Combined,2012-2016,253.1,446.9,339.9
698029,IL,IL: Putnam County (17155),90.9,202.7,137.1,31,Mortality,14254.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.8,308.7,217.5
698917,IL,IL: Randolph County (17157),121.4,166.5,142.4,177,Mortality,73715.0,All Races,Female,All Cancer Sites Combined,2012-2016,206.0,278.2,240.1
699805,IL,IL: Richland County (17159),101.2,159.8,127.6,87,Mortality,40592.0,All Races,Female,All Cancer Sites Combined,2012-2016,171.7,264.4,214.3
700693,IL,IL: Rock Island County (17161),137.4,158.9,147.9,805,Mortality,372069.0,All Races,Female,All Cancer Sites Combined,2012-2016,201.7,231.8,216.4
701581,IL,IL: Saline County (17165),158.1,215.8,185.1,180,Mortality,62274.0,All Races,Female,All Cancer Sites Combined,2012-2016,248.4,334.5,289.0
702469,IL,IL: Sangamon County (17167),145.7,164.9,155.1,1090,Mortality,516195.0,All Races,Female,All Cancer Sites Combined,2012-2016,198.8,224.1,211.2
703357,IL,IL: Schuyler County (17169),132.9,241.1,179.7,54,Mortality,17268.0,All Races,Female,All Cancer Sites Combined,2012-2016,234.9,408.0,312.7
704245,IL,IL: Scott County (17171),86.0,203.2,134.2,26,Mortality,13231.0,All Races,Female,All Cancer Sites Combined,2012-2016,128.4,287.9,196.5
705133,IL,IL: Shelby County (17173),114.8,167.5,139.0,126,Mortality,55500.0,All Races,Female,All Cancer Sites Combined,2012-2016,189.1,270.3,227.0
706021,IL,IL: St. Clair County (17163),148.9,166.1,157.3,1360,Mortality,687314.0,All Races,Female,All Cancer Sites Combined,2012-2016,187.5,208.7,197.9
706909,IL,IL: Stark County (17175),100.4,226.7,153.5,32,Mortality,14263.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.5,316.7,224.4
707797,IL,IL: Stephenson County (17177),131.0,167.6,148.3,296,Mortality,119104.0,All Races,Female,All Cancer Sites Combined,2012-2016,221.0,278.5,248.5
708685,IL,IL: Tazewell County (17179),136.6,158.9,147.4,730,Mortality,343081.0,All Races,Female,All Cancer Sites Combined,2012-2016,197.6,228.8,212.8
709573,IL,IL: Union County (17181),136.8,201.1,166.2,117,Mortality,43536.0,All Races,Female,All Cancer Sites Combined,2012-2016,222.3,322.1,268.7
710461,IL,IL: Vermilion County (17183),178.5,212.1,194.7,569,Mortality,201053.0,All Races,Female,All Cancer Sites Combined,2012-2016,260.2,307.2,283.0
711349,IL,IL: Wabash County (17185),102.7,172.5,133.5,67,Mortality,29325.0,All Races,Female,All Cancer Sites Combined,2012-2016,177.1,290.2,228.5
712237,IL,IL: Warren County (17187),102.6,160.4,128.7,88,Mortality,44582.0,All Races,Female,All Cancer Sites Combined,2012-2016,158.3,243.2,197.4
713125,IL,IL: Washington County (17189),118.3,187.0,149.3,86,Mortality,35809.0,All Races,Female,All Cancer Sites Combined,2012-2016,192.1,296.6,240.2
714013,IL,IL: Wayne County (17191),129.8,194.7,159.4,109,Mortality,42082.0,All Races,Female,All Cancer Sites Combined,2012-2016,212.7,312.5,259.0
714901,IL,IL: White County (17193),137.5,210.7,170.7,104,Mortality,36675.0,All Races,Female,All Cancer Sites Combined,2012-2016,231.7,343.6,283.6
715789,IL,IL: Whiteside County (17195),133.5,167.2,149.5,344,Mortality,144644.0,All Races,Female,All Cancer Sites Combined,2012-2016,213.4,264.3,237.8
716677,IL,IL: Will County (17197),137.0,148.5,142.6,2503,Mortality,1725320.0,All Races,Female,All Cancer Sites Combined,2012-2016,139.4,150.9,145.1
717565,IL,IL: Williamson County (17199),143.3,176.3,159.1,392,Mortality,169086.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.4,256.0,231.8
718453,IL,IL: Winnebago County (17201),158.2,174.8,166.4,1652,Mortality,738816.0,All Races,Female,All Cancer Sites Combined,2012-2016,212.9,234.6,223.6
719341,IL,IL: Woodford County (17203),128.7,173.2,149.6,203,Mortality,98077.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.5,237.5,207.0
720229,IN,IN: Adams County (18001),117.9,164.0,139.4,160,Mortality,87619.0,All Races,Female,All Cancer Sites Combined,2012-2016,155.4,213.2,182.6
721117,IN,IN: Allen County (18003),137.7,152.5,145.0,1597,Mortality,935427.0,All Races,Female,All Cancer Sites Combined,2012-2016,162.5,179.3,170.7
722005,IN,IN: Bartholomew County (18005),122.8,152.3,136.9,357,Mortality,201088.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.6,196.9,177.5
722893,IN,IN: Benton County (18007),115.2,212.3,157.7,48,Mortality,21767.0,All Races,Female,All Cancer Sites Combined,2012-2016,162.6,292.4,220.5
723781,IN,IN: Blackford County (18009),140.6,222.6,177.5,87,Mortality,31111.0,All Races,Female,All Cancer Sites Combined,2012-2016,224.0,344.9,279.6
724669,IN,IN: Boone County (18011),133.7,171.7,151.8,262,Mortality,155557.0,All Races,Female,All Cancer Sites Combined,2012-2016,148.6,190.1,168.4
725557,IN,IN: Brown County (18013),98.5,164.8,128.0,72,Mortality,37773.0,All Races,Female,All Cancer Sites Combined,2012-2016,149.1,240.0,190.6
726445,IN,IN: Carroll County (18015),112.4,171.2,139.3,101,Mortality,50270.0,All Races,Female,All Cancer Sites Combined,2012-2016,163.6,244.1,200.9
727333,IN,IN: Cass County (18017),131.8,176.4,152.8,205,Mortality,95891.0,All Races,Female,All Cancer Sites Combined,2012-2016,185.5,245.1,213.8
728221,IN,IN: Clark County (18019),136.1,162.0,148.6,540,Mortality,290602.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.5,202.2,185.8
729109,IN,IN: Clay County (18021),147.4,202.8,173.3,165,Mortality,67129.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.7,286.3,245.8
729997,IN,IN: Clinton County (18023),135.2,184.6,158.4,178,Mortality,82362.0,All Races,Female,All Cancer Sites Combined,2012-2016,185.5,250.3,216.1
730885,IN,IN: Crawford County (18025),91.6,167.2,124.6,50,Mortality,26182.0,All Races,Female,All Cancer Sites Combined,2012-2016,141.7,251.8,191.0
731773,IN,IN: Daviess County (18027),130.1,181.0,153.9,157,Mortality,81413.0,All Races,Female,All Cancer Sites Combined,2012-2016,163.9,225.5,192.8
732661,IN,IN: DeKalb County (18033),130.4,173.0,150.5,208,Mortality,106741.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.3,223.2,194.9
733549,IN,IN: Dearborn County (18029),134.9,174.1,153.5,257,Mortality,124540.0,All Races,Female,All Cancer Sites Combined,2012-2016,181.9,233.2,206.4
734437,IN,IN: Decatur County (18031),118.3,170.9,142.7,126,Mortality,66433.0,All Races,Female,All Cancer Sites Combined,2012-2016,158.0,225.8,189.7
735325,IN,IN: Delaware County (18035),135.5,160.9,147.8,572,Mortality,300899.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.8,206.3,190.1
736213,IN,IN: Dubois County (18037),105.0,142.5,122.5,184,Mortality,106695.0,All Races,Female,All Cancer Sites Combined,2012-2016,148.4,199.3,172.5
737101,IN,IN: Elkhart County (18039),129.0,148.5,138.5,833,Mortality,509747.0,All Races,Female,All Cancer Sites Combined,2012-2016,152.5,174.9,163.4
737989,IN,IN: Fayette County (18041),134.8,192.0,161.3,141,Mortality,59728.0,All Races,Female,All Cancer Sites Combined,2012-2016,198.7,278.4,236.1
738877,IN,IN: Floyd County (18043),128.3,159.5,143.2,353,Mortality,196055.0,All Races,Female,All Cancer Sites Combined,2012-2016,161.8,199.8,180.1
739765,IN,IN: Fountain County (18045),139.8,210.0,171.9,107,Mortality,41913.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.2,308.5,255.3
